,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2000-01-01,63762,2000-01-01,49461,2000-01-01,56215,2000-01-01,60706,2000-01-01,49428,2000-01-01,49365,2000-01-01,60190,2000-01-01,45270
1,2001-01-01,63881,2001-01-01,49208,2001-01-01,56807,2001-01-01,60660,2001-01-01,48783,2001-01-01,49539,2001-01-01,60166,2001-01-01,44725
2,2002-01-01,62756,2002-01-01,50274,2002-01-01,57738,2002-01-01,61699,2002-01-01,49098,2002-01-01,51453,2002-01-01,61189,2002-01-01,45433
3,2003-01-01,61035,2003-01-01,51630,2003-01-01,58029,2003-01-01,61869,2003-01-01,50737,2003-01-01,51513,2003-01-01,61418,2003-01-01,45996
4,2004-01-01,60790,2004-01-01,54093,2004-01-01,59546,2004-01-01,63949,2004-01-01,52591,2004-01-01,54218,2004-01-01,62711,2004-01-01,47306
5,2005-01-01,71493,2005-01-01,57722,2005-01-01,63869,2005-01-01,69856,2005-01-01,53577,2005-01-01,58674,2005-01-01,72167,2005-01-01,48630
6,2006-01-01,76378,2006-01-01,58608,2006-01-01,66113,2006-01-01,68764,2006-01-01,56755,2006-01-01,59398,2006-01-01,69458,2006-01-01,53802
7,2007-01-01,80020,2007-01-01,61056,2007-01-01,68142,2007-01-01,72155,2007-01-01,59640,2007-01-01,60907,2007-01-01,74700,2007-01-01,57339
8,2008-01-01,84250,2008-01-01,64045,2008-01-01,67520,2008-01-01,74645,2008-01-01,61459,2008-01-01,67484,2008-01-01,75251,2008-01-01,54027
9,2009-01-01,78892,2009-01-01,61962,2009-01-01,67688,2009-01-01,74524,2009-01-01,60388,2009-01-01,63450,2009-01-01,78471,2009-01-01,56342
10,2010-01-01,74634,2010-01-01,60028,2010-01-01,66076,2010-01-01,70805,2010-01-01,57070,2010-01-01,61792,2010-01-01,74868,2010-01-01,56564
11,2011-01-01,77065,2011-01-01,60947,2011-01-01,68658,2011-01-01,75714,2011-01-01,58985,2011-01-01,63561,2011-01-01,77124,2011-01-01,54911
12,2012-01-01,79536,2012-01-01,63374,2012-01-01,67746,2012-01-01,74588,2012-01-01,59217,2012-01-01,65573,2012-01-01,75048,2012-01-01,54221
13,2013-01-01,81816,2013-01-01,63491,2013-01-01,70519,2013-01-01,75335,2013-01-01,58672,2013-01-01,62638,2013-01-01,73660,2013-01-01,55948
14,2014-01-01,85336,2014-01-01,65809,2014-01-01,73413,2014-01-01,76365,2014-01-01,60387,2014-01-01,65813,2014-01-01,78653,2014-01-01,57547
15,2015-01-01,86297,2015-01-01,69260,2015-01-01,70847,2015-01-01,82878,2015-01-01,61758,2015-01-01,65602,2015-01-01,81616,2015-01-01,61303
16,2016-01-01,89954,2016-01-01,69341,2016-01-01,76323,2016-01-01,80190,2016-01-01,66012,2016-01-01,70258,2016-01-01,81369,2016-01-01,60869
17,2017-01-01,91170,2017-01-01,70433,2017-01-01,77968,2017-01-01,81533,2017-01-01,66764,2017-01-01,71721,2017-01-01,75571,2017-01-01,62606
18,2018-01-01,91183,2018-01-01,73037,2018-01-01,76304,2018-01-01,88709,2018-01-01,67720,2018-01-01,67790,2018-01-01,89584,2018-01-01,65182
19,2019-01-01,96966,2019-01-01,75336,2019-01-01,81015,2019-01-01,81721,2019-01-01,69687,2019-01-01,75226,2019-01-01,90181,2019-01-01,63309
